1655,0760444 Bc Ltd As General Partner On Behalf Of Omni Health Care Limited Partnership,0760444 Bc General Partner On Behalf Omni Health Care,1655,2019-09-01 14:30:42.943
12699,0825859 B.C. Ltd. (Dba Four Seasons Hotel Toronto),0825859 Bc Dba Four Seasons Toronto,14420,2017-03-01 00:00:00.000
6839,10 Gates Dancing Inc,10 Gates Dancing,7919,2018-01-01 14:39:36.717
5154,100 % Actif : Activités Parascolaires,100 Actif Activités Parascolaires,6068,2018-01-01 14:39:36.717
12741,110798898 Ontario Limted O/A Nutra 2000 (Ottawa),110798898 Ontario Limted Nutra 2000 Ottawa,14495,2017-07-01 00:00:00.000
12741,110798898 Ontario Limited O/A Nutra 2000 (Ottawa),110798898 Ontario Nutra 2000 Ottawa,14518,2017-09-01 00:00:00.000
12741,1107989 Ontario Limited O/A Nutra 2000 (Ottawa),1107989 Ontario Nutra 2000 Ottawa,15238,2020-02-23 23:30:26.803
11521,Foundation 12,12,13074,2018-01-01 14:39:36.717
12344,1214078 Ontario Inc. C.O.B. As Ottawa Marriott,1214078 Ontario Cob Ottawa Marriott,14846,2019-03-01 00:00:00.000
12344,1214078 Ontario Inc (Ottawa Marriott),1214078 Ontario Ottawa Marriott,13972,2016-01-01 00:00:00.000
2035,1245556 Ontario Inc,1245556 Ontario,2035,2019-09-01 14:30:42.943
12397,1245556 Ontario Inc (Burton Manor Long-Term Care),1245556 Ontario Burton Manor Longterm Care,14041,2016-03-01 00:00:00.000
12397,124556 Ontario Inc. O/A As Burton Manor,124556 Ontario Burton Manor,14991,2019-11-01 00:00:00.000
13075,"1247101 Ontario Ltd, Dewe'S Your Independent Grocer",1247101 Ontario Dewes Your Independent Grocer,15152,2020-06-03 00:00:00.000
1977,1267657 Ontario Inc (O/A Oswege Management & Consulting),1267657 Ontario Oswege Management,1977,2019-09-01 14:30:42.943
12293,"1367178 Ontario Inc. C.O.B As: The Westmount, The Wynfield, The Woodhaven, The Waterford",1367178 Ontario Cob Westmount Wynfield Woodhaven Waterford,15272,2020-03-11 23:39:44.420
12704,1370712 Ontario Ltd  C.O.B. As  Rome’S  Your Independent Grocer,1370712 Ontario Cob Rome’S Your Independent Grocer,15268,2020-03-11 23:39:44.420
12704,1370712 Ontario Ltd  C.O.B. As  Rome’S  Your Independent Grocers,1370712 Ontario Cob Rome’S Your Independent Grocers,14427,2017-04-01 00:00:00.000
1914,1485716 Ontario Ltd,1485716 Ontario,1914,2019-09-01 14:30:42.943
9581,Global 180 Student Communications,180 Student,10949,2018-01-01 14:39:36.717
1385,1895357 Ontario Inc,1895357 Ontario,1385,2019-09-01 14:30:42.943
7003,1In6 Canada - 1Sur6 Canada,1In6 Canada 1Sur6 Canada,11979,2018-01-01 14:39:36.717
8137,The 1St Hussars Cavalry Fund,1St Hussars Cavalry Fund,9350,2018-01-01 14:39:36.717
6520,2 - Spirited People Of The 1St Nations,2 Spirited People 1St Nations,7573,2018-01-01 14:39:36.717
1613,2063414 Investment Lp (O/A Leisureworld),2063414 Lp Leisureworld,1613,2019-09-01 14:30:42.943
1725,2109577 Ontario Ltd (O/A Arbour Heights),2109577 Ontario Arbour Heights,1725,2019-09-01 14:30:42.943
12351,2109577 Ontario Ltd O/A Arbour Heights Long Term Care,2109577 Ontario Arbour Heights Long Term Care,13980,2016-01-01 00:00:00.000
12933,2465855 Ontario Ltd. O/A The Pan Pacific Hotel,2465855 Ontario Pan Pacific,15212,2020-12-01 23:16:58.260
12933,2465855 Ontario Ltd. O/A The Westin Prince Hotel,2465855 Ontario Westin Prince,14791,2018-12-01 00:00:00.000
9845,2C Beyond Ministries,2C Beyond Ministries,11246,2018-01-01 14:39:36.717
3051,The 3 C'S Reintroduction Centre,3 Cs Reintroduction,3506,2018-01-01 14:39:36.717
2220,360Kids Support Services,360Kids Support,2220,2019-09-01 14:30:42.943
12497,3M Canada Co,3M Canada,14160,2016-05-01 00:00:00.000
4300,The 404 Town House Sarnia Inc.,404 House Sarnia,5088,2018-01-01 14:39:36.717
78,412506 Ontario Ltd,412506 Ontario,78,2019-09-01 14:30:42.943
4616,416 Community Support For Women,416 Community Support Women,5457,2018-01-01 14:39:36.717
4699,442534 Ontario Incorporated,442534 Ontario,5546,2018-01-01 14:39:36.717
409,458422 Ontario Ltd,458422 Ontario,409,2019-09-01 14:30:42.943
79,488491 Ontario Inc - Avalon Care Centre,488491 Ontario Avalon Care,79,2019-09-01 14:30:42.943
10430,4Grow,4Grow,11892,2018-01-01 14:39:36.717
7013,4Th Line Theatre Company Of Peterborough,4Th Line Theatre Peterborough,8112,2018-01-01 14:39:36.717
4635,Centre 507 Association Of Ottawa,507 Ottawa,5479,2018-01-01 14:39:36.717
3566,519 Church Street Community Centre,519 Community,4212,2018-01-01 14:39:36.717
405,584482 Ontario Inc (O/A Manitoulin Lodge),584482 Ontario Manitoulin Lodge,405,2019-09-01 14:30:42.943
11821,5-Penny New Music Concerts,5Penny New Music Concerts,13389,2018-01-01 14:39:36.717
11959,614 St. Jamestown,614 St Jamestown,13541,2018-01-01 14:39:36.717
80,674725 Ontario Ltd (O/A Agilec),674725 Ontario Agilec,80,2019-09-01 14:30:42.943
11252,750 Spadina Ave. Association,750 Spadina Ave,12789,2018-01-01 14:39:36.717
6475,7550421 Canada Center,7550421 Canada,7522,2018-01-01 14:39:36.717
8159,The Group Of 78,78,12597,2018-01-01 14:39:36.717
